pair_index,refseq_A,refseq_B,strand_A,strand_B,gene_A_start,gene_A_end,gene_B_start,gene_B_end,intergenic_distance,label,region_start,region_end,n_genes_between
626,NP_415183.1,NP_415184.1,-1,-1,681722,683393,683476,684412,2690,0,684412,681722,0
631,NP_415188.1,YP_009518770.2,-1,1,686838,687747,1396111,1397092,710254,0,1397092,686838,0
632,YP_009518770.2,NP_415190.1,1,-1,1396111,1397092,689342,690881,707750,0,1397092,689342,0
633,NP_415190.1,NP_415191.1,-1,-1,689342,690881,690905,691784,2442,1,691784,689342,0
636,NP_415193.2,NP_415194.1,-1,-1,692337,693378,693530,694955,2618,0,694955,692337,0
637,NP_415194.1,NP_415195.1,-1,1,693530,694955,695100,696276,2746,0,696276,693530,0
639,NP_415200.1,NP_415201.1,-1,-1,697512,699177,699573,700326,2814,0,700326,697512,0
640,NP_415201.1,NP_415202.1,-1,-1,699573,700326,700373,701594,2021,1,701594,699573,0
641,NP_415202.1,NP_415203.1,-1,-1,700373,701594,701602,702751,2378,1,702751,700373,0
642,NP_415203.1,NP_415204.1,-1,-1,701602,702751,702810,703611,2009,1,703611,701602,0
643,NP_415204.1,NP_415205.1,-1,1,702810,703611,703943,705890,3080,0,705890,702810,0
656,NP_415219.1,NP_415220.1,-1,-1,716945,718265,718261,720460,3515,1,720460,716945,0
657,NP_415220.1,YP_010051176.1,-1,-1,718261,720460,720717,720822,2561,1,720822,718261,0
659,NP_415222.1,NP_415223.1,-1,-1,721055,721733,721729,724414,3359,1,724414,721055,0
660,NP_415223.1,NP_415224.1,-1,-1,721729,724414,724406,724979,3250,0,724979,721729,0
661,NP_415224.1,NP_415225.1,-1,-1,724406,724979,724987,727036,2630,1,727036,724406,0
662,NP_415225.1,NP_415226.1,-1,-1,724987,727036,727058,728732,3745,1,728732,724987,0
673,NP_415237.1,NP_415238.1,-1,1,741074,742556,742826,743570,2496,0,743570,741074,0
679,NP_415243.4,NP_415244.4,-1,-1,746722,747769,747920,748982,2260,0,748982,746722,0
681,NP_415245.1,NP_415246.2,-1,-1,748978,749707,749721,752169,3191,1,752169,748978,0
682,NP_415246.2,NP_415247.1,-1,-1,749721,752169,752228,752795,3074,0,752795,749721,0
683,NP_415247.1,NP_415248.1,-1,-1,752228,752795,753184,754468,2240,0,754468,752228,0
695,NP_415258.1,NP_415259.1,-1,1,765152,765875,765983,767960,2808,0,767960,765152,0
715,NP_415277.1,NP_415278.1,-1,-1,787796,788837,788830,789979,2183,1,789979,787796,0
716,NP_415278.1,NP_415279.1,-1,-1,788830,789979,789982,791029,2199,1,791029,788830,0
717,NP_415279.1,NP_415280.3,-1,-1,789982,791029,791038,792055,2073,1,792055,789982,0
718,NP_415280.3,NP_415281.1,-1,-1,791038,792055,792315,793788,2750,0,793788,791038,0
719,NP_415281.1,NP_415282.1,-1,-1,792315,793788,793855,794644,2329,1,794644,792315,0
727,NP_415289.4,NP_415290.1,-1,1,799621,800575,800758,801811,2190,0,801811,799621,0
733,NP_415295.1,NP_415296.1,-1,1,807967,809257,809343,810384,2417,0,810384,807967,0
739,NP_415301.1,NP_415302.1,-1,1,815738,816647,817043,818033,2295,0,818033,815738,0
747,NP_415309.1,NP_415310.1,-1,-1,821541,822498,822497,823739,2198,1,823739,821541,0
751,NP_415313.1,NP_415314.1,-1,-1,825001,826108,826118,827252,2251,1,827252,825001,0
752,NP_415314.1,NP_415315.4,-1,-1,826118,827252,827244,828981,2863,1,828981,826118,0
753,NP_415315.4,NP_415316.1,-1,-1,827244,828981,828973,829972,2728,1,829972,827244,0
755,NP_415317.4,NP_415318.1,-1,1,829971,830643,830871,832236,2265,0,832236,829971,0
757,NP_415319.1,NP_415320.1,-1,1,832467,832950,833069,835220,2753,0,835220,832467,0
764,NP_415325.4,NP_415326.1,-1,-1,838529,839207,839248,841531,3002,0,841531,838529,0
765,NP_415326.1,NP_415327.2,-1,-1,839248,841531,841795,842056,2808,0,842056,839248,0
768,NP_415329.4,NP_415330.1,-1,-1,843254,845480,845740,846463,3209,0,846463,843254,0
780,NP_415340.1,NP_415341.1,-1,1,854823,855744,855962,857555,2732,0,857555,854823,0
782,NP_415342.1,NP_415343.1,-1,-1,857795,859061,859212,860028,2233,0,860028,857795,0
783,NP_415343.1,NP_415344.1,-1,-1,859212,860028,860173,862606,3394,0,862606,859212,0
784,NP_415344.1,NP_415345.2,-1,-1,860173,862606,862611,863511,3338,1,863511,860173,0
788,NP_415348.1,NP_415349.1,-1,1,865128,866364,866567,867533,2405,0,867533,865128,0
799,NP_415359.4,NP_415360.1,-1,1,879853,880480,880726,881929,2076,0,881929,879853,0
802,NP_415362.1,NP_415363.1,-1,1,882791,883388,883672,884905,2114,0,884905,882791,0
805,NP_415365.4,NP_415366.1,-1,-1,885315,886131,886130,887339,2024,1,887339,885315,0
808,NP_415368.1,NP_415369.1,-1,1,888133,889819,890088,890466,2333,0,890466,888133,0
829,NP_415389.2,NP_415390.4,-1,-1,905739,906753,906851,908282,2543,0,908282,905739,0
830,NP_415390.4,NP_415391.1,-1,-1,906851,908282,908292,909294,2443,1,909294,906851,0
831,NP_415391.1,NP_415392.1,-1,-1,908292,909294,909330,911049,2757,1,911049,908292,0
832,NP_415392.1,NP_415393.1,-1,-1,909330,911049,911181,912150,2820,1,912150,909330,0
833,NP_415393.1,NP_415394.4,-1,-1,911181,912150,912161,913814,2633,1,913814,911181,0
834,NP_415394.4,NP_415395.2,-1,-1,912161,913814,913957,914857,2696,0,914857,912161,0
835,NP_415395.2,NP_415396.1,-1,-1,913957,914857,915351,916047,2090,0,916047,913957,0
836,NP_415396.1,NP_415397.1,-1,1,915351,916047,916472,918131,2780,0,918131,915351,0
838,NP_415398.1,NP_415399.4,-1,1,918127,919120,919234,920350,2223,0,920350,918127,0
846,NP_415405.1,NP_415406.1,-1,-1,926727,927432,927473,929195,2468,0,929195,926727,0
847,NP_415406.1,NP_415407.1,-1,-1,927473,929195,929195,930962,3489,1,930962,927473,0
848,NP_415407.1,NP_415408.1,-1,-1,929195,930962,931084,932050,2855,0,932050,929195,0
849,NP_415408.1,NP_415409.1,-1,1,931084,932050,932594,933089,2005,0,933089,931084,0
858,NP_415417.1,NP_415418.1,-1,1,944930,945557,945870,947019,2089,0,947019,944930,0
863,NP_415422.1,NP_415423.1,-1,-1,950339,951080,951271,953554,3215,0,953554,950339,0
864,NP_415423.1,NP_415424.1,-1,-1,951271,953554,953608,954466,3195,1,954466,951271,0
865,NP_415424.1,NP_415425.4,-1,-1,953608,954466,954871,956632,3024,0,956632,953608,0
866,NP_415425.4,NP_415426.1,-1,1,954871,956632,956761,957454,2583,0,957454,954871,0
889,NP_415448.1,NP_415449.1,-1,-1,984518,985709,985893,986982,2464,0,986982,984518,0
890,NP_415449.1,NP_415450.1,-1,-1,985893,986982,987584,988985,3092,0,988985,985893,0
891,NP_415450.1,NP_415451.1,-1,-1,987584,988985,989153,990356,2772,0,990356,987584,0
892,NP_415451.1,NP_415452.1,-1,1,989153,990356,990621,993234,4081,0,993234,989153,0
896,NP_415455.1,NP_415456.4,-1,-1,994842,995988,995984,996944,2102,1,996944,994842,0
908,NP_415467.1,NP_415468.1,-1,1,1006490,1007600,1007843,1009952,3462,0,1009952,1006490,0
915,NP_415474.1,NP_415475.1,-1,-1,1015951,1016470,1016538,1018299,2348,0,1018299,1015951,0
916,NP_415475.1,NP_415476.1,-1,1,1016538,1018299,1018484,1018937,2399,0,1018937,1016538,0
921,NP_415480.2,NP_415481.1,-1,-1,1021729,1023883,1023901,1024348,2619,1,1024348,1021729,0
922,NP_415481.1,NP_415482.1,-1,1,1023901,1024348,1024470,1026525,2624,0,1026525,1023901,0
931,NP_415490.1,NP_415491.1,-1,1,1030758,1031418,1032138,1033257,2499,0,1033257,1030758,0
942,NP_415501.1,NP_415502.4,-1,-1,1042029,1044210,1044229,1044676,2647,1,1044676,1042029,0
944,NP_415503.1,NP_415504.1,-1,-1,1044663,1045803,1045848,1047945,3282,0,1047945,1044663,0
945,NP_415504.1,NP_415505.1,-1,-1,1045848,1047945,1047944,1048691,2843,1,1048691,1045848,0
956,NP_415512.1,NP_415513.2,-1,-1,1052288,1053362,1053433,1056178,3890,0,1056178,1052288,0
957,NP_415513.2,NP_415514.1,-1,1,1053433,1056178,1056260,1057289,3856,0,1057289,1053433,0
964,NP_415520.1,NP_415521.1,-1,1,1062854,1063775,1064035,1065292,2438,0,1065292,1062854,0
976,NP_415532.3,NP_415533.1,-1,1,1072862,1074011,1074241,1074880,2018,0,1074880,1072862,0
978,NP_415534.1,YP_009518762.2,-1,1,1074919,1078882,1079119,1079146,4227,0,1079146,1074919,0
985,NP_415541.1,NP_415542.1,-1,-1,1086520,1087846,1087838,1089857,3337,1,1089857,1086520,0
986,NP_415542.1,NP_415543.1,-1,-1,1087838,1089857,1089865,1092289,4451,1,1092289,1087838,0
987,NP_415543.1,NP_415544.1,-1,1,1089865,1092289,1092875,1094234,4369,0,1094234,1089865,0
988,NP_415544.1,NP_416593.1,1,1,1092875,1094234,2170531,2171398,1076297,0,1094234,2170531,1064
990,NP_416592.2,NP_415548.1,1,1,2170235,2170535,1095842,1096829,1074693,0,2170535,1095842,0
1006,NP_415565.1,NP_415566.1,-1,1,1107783,1108941,1109334,1110870,3087,0,1110870,1107783,0
1011,NP_415571.1,NP_415572.1,-1,-1,1114263,1115490,1115661,1116582,2319,0,1116582,1114263,0
1012,NP_415572.1,NP_415573.1,-1,1,1115661,1116582,1116806,1117859,2198,0,1117859,1115661,0
1023,NP_415583.4,NP_415584.1,-1,1,1124117,1125326,1125561,1126146,2029,0,1126146,1124117,0
1042,NP_415602.1,NP_415603.2,-1,1,1141181,1144367,1144501,1144822,3641,0,1144822,1141181,0
1060,NP_415620.1,NP_415621.3,-1,1,1159361,1161551,1161884,1162244,2883,0,1162244,1159361,0
1071,NP_415631.1,NP_415632.1,-1,-1,1169411,1170374,1170517,1173964,4553,0,1173964,1169411,0
1072,NP_415632.1,NP_415633.1,-1,-1,1170517,1173964,1174091,1175165,4648,0,1175165,1170517,0
1073,NP_415633.1,NP_415634.1,-1,1,1174091,1175165,1175426,1176626,2535,0,1176626,1174091,0
1085,NP_415644.1,NP_415645.1,-1,1,1184457,1185594,1185843,1187070,2613,0,1187070,1184457,0
1087,NP_415646.4,NP_415647.1,-1,-1,1187118,1188240,1188315,1189776,2658,0,1189776,1187118,0
1088,NP_415647.1,NP_415648.1,-1,-1,1188315,1189776,1189775,1190447,2132,1,1190447,1188315,0
1089,NP_415648.1,NP_415649.1,-1,-1,1189775,1190447,1190615,1191986,2211,0,1191986,1189775,0
1090,NP_415649.1,NP_415650.1,-1,-1,1190615,1191986,1191989,1192631,2016,1,1192631,1190615,0
1094,NP_415653.4,NP_415654.1,-1,1,1194297,1194951,1195122,1196373,2076,0,1196373,1194297,0
1097,NP_415656.1,NP_415657.1,-1,1,1197532,1198237,1198694,1199588,2056,0,1199588,1197532,0
1121,NP_415680.1,NP_415681.1,-1,-1,1213327,1214059,1214263,1215475,2148,0,1215475,1213327,0
1128,YP_588447.1,NP_415689.2,1,-1,1218982,1219201,1222304,1222634,3103,0,1219201,1222304,0
1145,NP_415703.3,NP_415704.1,-1,-1,1232499,1233030,1233175,1234717,2218,0,1234717,1232499,0
1146,NP_415704.1,NP_415705.1,-1,1,1233175,1234717,1234937,1235657,2482,0,1235657,1233175,0
1148,NP_415706.1,NP_415707.1,-1,1,1235708,1237241,1237570,1238869,3161,0,1238869,1235708,0
1152,NP_415709.2,NP_415710.1,-1,-1,1240334,1242071,1242165,1243080,2746,0,1243080,1240334,0
1158,NP_415715.1,NP_415716.4,-1,-1,1245678,1247376,1247695,1249114,3436,0,1249114,1245678,0
1159,NP_415716.4,NP_415717.1,-1,-1,1247695,1249114,1249124,1249757,2062,1,1249757,1247695,0
1161,NP_415718.6,NP_415719.2,-1,1,1249767,1250838,1251065,1252985,3218,0,1252985,1249767,0
1163,NP_415720.1,NP_415721.1,-1,-1,1253084,1255952,1256720,1257812,4728,0,1257812,1253084,0
1167,NP_415724.2,NP_415725.1,-1,-1,1259123,1260803,1260927,1261875,2752,0,1261875,1259123,0
1170,NP_415727.1,NP_415728.1,-1,1,1262876,1263500,1263713,1264970,2094,0,1264970,1262876,0
1185,NP_415739.1,NP_415740.1,-1,-1,1275178,1275829,1275821,1277618,2440,1,1277618,1275178,0
1186,NP_415740.1,NP_415741.1,-1,1,1275821,1277618,1277956,1279348,3527,0,1279348,1275821,0
1201,NP_415757.1,YP_010051181.1,-1,1,1295445,1298121,1298513,1298567,3122,0,1298567,1295445,0
1203,NP_415758.1,YP_009518770.2,1,1,1298597,1299245,1396111,1397092,96866,0,1299245,1396111,98
1204,YP_009518770.2,NP_415759.1,1,1,1396111,1397092,1301181,1302813,95911,0,1397092,1301181,0
1224,NP_415777.1,NP_415778.3,-1,-1,1317221,1318415,1318426,1319788,2567,1,1319788,1317221,0
1225,NP_415778.3,NP_415779.1,-1,-1,1318426,1319788,1319788,1321384,2958,1,1321384,1318426,0
1226,NP_415779.1,NP_415780.1,-1,-1,1319788,1321384,1321383,1322946,3158,1,1322946,1319788,0
1234,NP_415787.1,NP_415788.1,-1,1,1328353,1329112,1329331,1330381,2028,0,1330381,1328353,0
1236,NP_415789.1,NP_415790.1,-1,1,1330416,1330668,1331047,1333645,3229,0,1333645,1330416,0
1253,NP_415801.1,YP_002791239.1,-1,1,1344756,1346742,1346795,1346900,2144,0,1346900,1344756,0
1255,NP_415802.1,NP_415803.2,-1,-1,1346977,1348912,1348979,1350107,3130,0,1350107,1346977,0
1256,NP_415803.2,NP_415804.1,-1,-1,1348979,1350107,1350250,1351039,2060,0,1351039,1348979,0
1262,NP_415809.1,NP_415810.1,-1,-1,1354504,1355470,1355466,1357110,2606,1,1357110,1354504,0
1263,NP_415810.1,NP_415811.1,-1,-1,1355466,1357110,1357422,1357668,2202,0,1357668,1355466,0
1267,NP_415813.4,NP_415814.4,-1,1,1359489,1360908,1361119,1361884,2395,0,1361884,1359489,0
1289,NP_415836.1,NP_415837.1,-1,1,1382962,1383961,1384116,1385514,2552,0,1385514,1382962,0
1301,NP_415846.1,YP_009518770.2,-1,1,1394890,1395922,1396111,1397092,2202,0,1397092,1394890,0
